Ref,Val,Package,PosX,PosY,Rot,Side
"C101","1u","C_0805",-289.917235,-22.442159,0.000000,bottom
"C103","0.1u","C_0805",-275.034398,-42.087488,180.000000,bottom
"C104","0.1u","C_0805",-297.060979,-46.849992,0.000000,bottom
"C105","0.1u","C_0805",-289.917235,-24.823411,0.000000,bottom
"C106","0.1u","C_0805",-277.415662,-34.943732,180.000000,bottom
"C107","4.7u","C_0805",-277.415650,-26.014037,180.000000,bottom
"D1","D","D_0805",-36.314085,-11.310939,90.000000,bottom
"D3","D","D_0805",-39.885963,-11.310939,90.000000,bottom
"D4","D","D_0805",-74.414117,-11.310939,90.000000,bottom
"D5","D","D_0805",-77.985995,-11.310939,90.000000,bottom
"D6","D","D_0805",-112.514149,-11.310939,90.000000,bottom
"D7","D","D_0805",-141.089173,-11.310939,90.000000,bottom
"D8","D","D_0805",-160.139189,-11.310939,90.000000,bottom
"D9","D","D_0805",-163.711075,-11.310939,90.000000,bottom
"D10","D","D_0805",-198.239221,-11.310939,90.000000,bottom
"D11","D","D_0805",-226.814245,-11.310939,90.000000,bottom
"D12","D","D_0805",-245.864261,-11.310939,90.000000,bottom
"D13","D","D_0805",-249.436147,-11.310939,90.000000,bottom
"D14","D","D_0805",-283.964293,-11.310939,90.000000,bottom
"D15","D","D_0805",-313.134638,-11.310939,90.000000,bottom
"D16","D","D_0805",-316.835947,-11.310939,90.000000,bottom
"D17","D","D_0805",-335.885963,-11.310939,90.000000,bottom
"D18","D","D_0805",-332.314085,-11.310939,90.000000,bottom
"D19","D","D_0805",-17.264069,-39.110939,90.000000,bottom
"D20","D","D_0805",-36.314085,-39.110939,90.000000,bottom
"D21","D","D_0805",-55.364101,-39.110939,90.000000,bottom
"D22","D","D_0805",-74.414117,-39.110939,90.000000,bottom
"D23","D","D_0805",-93.464133,-39.110939,90.000000,bottom
"D24","D","D_0805",-112.514149,-39.110939,90.000000,bottom
"D25","D","D_0805",-131.564165,-39.110939,90.000000,bottom
"D26","D","D_0805",-150.614181,-39.110939,90.000000,bottom
"D27","D","D_0805",-169.664197,-39.110939,90.000000,bottom
"D28","D","D_0805",-188.714213,-39.110939,90.000000,bottom
"D29","D","D_0805",-207.764229,-39.110939,90.000000,bottom
"D30","D","D_0805",-226.814245,-39.110939,90.000000,bottom
"D31","D","D_0805",-245.864251,-39.110891,90.000000,bottom
"D32","D","D_0805",-249.436135,-39.110891,90.000000,bottom
"D33","D","D_0805",-313.264069,-39.110939,90.000000,bottom
"D34","D","D_0805",-316.835947,-39.110939,90.000000,bottom
"D35","D","D_0805",-335.885963,-39.110939,90.000000,bottom
"D36","D","D_0805",-332.314085,-39.110939,90.000000,bottom
"D37","D","D_0805",-22.026569,-58.160939,90.000000,bottom
"D38","D","D_0805",-30.360963,-58.160939,90.000000,bottom
"D39","D","D_0805",-64.889105,-58.160939,90.000000,bottom
"D40","D","D_0805",-68.460983,-58.160939,90.000000,bottom
"D41","D","D_0805",-102.989137,-58.160939,90.000000,bottom
"D42","D","D_0805",-106.561027,-58.160939,90.000000,bottom
"D43","D","D_0805",-141.089169,-58.160939,90.000000,bottom
"D44","D","D_0805",-160.139185,-58.160939,90.000000,bottom
"D45","D","D_0805",-179.189201,-58.160939,90.000000,bottom
"D46","D","D_0805",-198.239229,-58.160939,90.000000,bottom
"D47","D","D_0805",-201.811095,-58.160939,90.000000,bottom
"D48","D","D_0805",-236.339149,-58.160939,90.000000,bottom
"D49","D","D_0805",-255.389069,-58.160939,90.000000,bottom
"D50","D","D_0805",-258.960947,-58.160939,90.000000,bottom
"D51","D","D_0805",-313.264069,-58.160939,90.000000,bottom
"D52","D","D_0805",-316.835947,-58.160939,90.000000,bottom
"D53","D","D_0805",-335.885963,-58.160939,90.000000,bottom
"D54","D","D_0805",-332.314085,-58.160939,90.000000,bottom
"D55","D","D_0805",-24.407821,-77.210955,90.000000,bottom
"D56","D","D_0805",-50.601593,-77.210955,90.000000,bottom
"D57","D","D_0805",-69.651609,-77.210955,90.000000,bottom
"D58","D","D_0805",-88.701625,-77.210955,90.000000,bottom
"D59","D","D_0805",-107.751641,-77.210955,90.000000,bottom
"D60","D","D_0805",-126.801657,-77.210955,90.000000,bottom
"D61","D","D_0805",-145.851673,-77.210955,90.000000,bottom
"D62","D","D_0805",-164.901689,-77.210955,90.000000,bottom
"D63","D","D_0805",-183.951705,-77.210955,90.000000,bottom
"D64","D","D_0805",-203.001721,-77.210955,90.000000,bottom
"D65","D","D_0805",-222.051737,-77.210955,90.000000,bottom
"D66","D","D_0805",-225.623615,-77.210955,90.000000,bottom
"D67","D","D_0805",-244.673631,-77.210955,90.000000,bottom
"D68","D","D_0805",-241.101569,-77.210955,90.000000,bottom
"D69","D","D_0805",-313.264069,-77.210955,90.000000,bottom
"D70","D","D_0805",-316.835947,-77.210955,90.000000,bottom
"D71","D","D_0805",-335.885931,-77.210939,90.000000,bottom
"D73","D","D_0805",-44.648463,-96.260971,90.000000,bottom
"D74","D","D_0805",-41.076585,-96.260971,90.000000,bottom
"D75","D","D_0805",-60.126601,-96.260971,90.000000,bottom
"D76","D","D_0805",-79.176617,-96.260971,90.000000,bottom
"D77","D","D_0805",-98.226633,-96.260971,90.000000,bottom
"D78","D","D_0805",-117.276649,-96.260971,90.000000,bottom
"D79","D","D_0805",-136.326665,-96.260971,90.000000,bottom
"D80","D","D_0805",-155.376681,-96.260971,90.000000,bottom
"D81","D","D_0805",-174.426697,-96.260971,90.000000,bottom
"D82","D","D_0805",-193.476713,-96.260971,90.000000,bottom
"D83","D","D_0805",-212.526729,-96.260971,90.000000,bottom
"D84","D","D_0805",-231.576745,-96.260971,90.000000,bottom
"D85","D","D_0805",-257.770319,-96.260939,90.000000,bottom
"D86","D","D_0805",-288.964085,-101.260923,90.000000,bottom
"D87","D","D_0805",-313.264069,-96.260971,90.000000,bottom
"D88","D","D_0805",-316.835947,-96.260971,90.000000,bottom
"D89","D","D_0805",-335.885947,-96.260939,90.000000,bottom
"D90","D","D_0805",-332.314085,-96.260971,90.000000,bottom
"D91","D","D_0805",-22.031569,-115.310939,90.000000,bottom
"D92","D","D_0805",-25.598431,-115.310939,90.000000,bottom
"D93","D","D_0805",-88.904500,-115.310939,90.000000,bottom
