Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C101,1u,C_0805,282.465737,-37.050258,-135,bottom
C102,0.1u,C_0805,304.965737,-36.550258,0,bottom
C103,0.1u,C_0805,299.965737,-21.550258,0,bottom
C104,0.1u,C_0805,283.965737,-38.550258,-135,bottom
C105,4.7u,C_0805,299.965737,-16.550258,0,bottom
D1,D,D_0805,39.802221,-11.287187,90,bottom
D2,D,D_0805,36.237843,-11.287197,90,bottom
D3,D,D_0805,55.247859,-11.287197,90,bottom
D4,D,D_0805,74.257875,-11.287197,90,bottom
D5,D,D_0805,93.267891,-11.287197,90,bottom
D6,D,D_0805,112.277907,-11.287197,90,bottom
D7,D,D_0805,131.287923,-11.287197,90,bottom
D8,D,D_0805,150.297939,-11.287197,90,bottom
D9,D,D_0805,169.307955,-11.287197,90,bottom
D10,D,D_0805,188.317971,-11.275323,90,bottom
D11,D,D_0805,207.327987,-11.287197,90,bottom
D12,D,D_0805,226.338003,-11.287197,90,bottom
D13,D,D_0805,245.348019,-11.287197,90,bottom
D14,D,D_0805,273.862999,-11.287197,90,bottom
D15,D,D_0805,283.427421,-11.287197,90,bottom
D16,D,D_0805,21.980331,-30.297213,90,bottom
D17,D,D_0805,45.742851,-30.297213,90,bottom
D18,D,D_0805,64.752867,-30.297213,90,bottom
D19,D,D_0805,68.317245,-30.297213,90,bottom
D20,D,D_0805,102.772899,-30.297213,90,bottom
D21,D,D_0805,121.782915,-30.297213,90,bottom
D22,D,D_0805,140.792931,-30.297213,90,bottom
D23,D,D_0805,159.802947,-30.297213,90,bottom
D24,D,D_0805,178.812963,-30.297213,90,bottom
D25,D,D_0805,197.822979,-30.297213,90,bottom
D26,D,D_0805,201.387357,-30.297213,90,bottom
D27,D,D_0805,235.843011,-30.297213,90,bottom
D28,D,D_0805,254.853027,-30.297213,90,bottom
D29,D,D_0805,260.793657,-30.297213,90,bottom
D30,D,D_0805,257.823342,-30.297213,90,bottom
D31,D,D_0805,33.356583,-49.307229,90,bottom
D32,D,D_0805,50.495355,-49.307229,90,bottom
D33,D,D_0805,69.505371,-49.307229,90,bottom
D34,D,D_0805,88.515387,-49.307229,90,bottom
D35,D,D_0805,92.079765,-49.307229,90,bottom
D36,D,D_0805,126.535419,-49.307229,90,bottom
D37,D,D_0805,130.099797,-49.307229,90,bottom
D38,D,D_0805,164.555451,-49.307229,90,bottom
D39,D,D_0805,183.565467,-49.307229,90,bottom
D40,D,D_0805,187.129845,-49.307229,90,bottom
D41,D,D_0805,221.585499,-49.307229,90,bottom
D42,D,D_0805,240.595515,-49.307229,90,bottom
D43,D,D_0805,244.159893,-49.307229,90,bottom
D44,D,D_0805,271.486791,-49.307229,90,bottom
D46,D,D_0805,40.990347,-68.317245,90,bottom
D47,D,D_0805,44.554725,-68.317245,90,bottom
D48,D,D_0805,60.000363,-68.317245,90,bottom
D49,D,D_0805,63.564741,-68.317245,90,bottom
D50,D,D_0805,98.020395,-68.317245,90,bottom
D51,D,D_0805,117.030411,-68.317245,90,bottom
D52,D,D_0805,136.040427,-68.317245,90,bottom
D53,D,D_0805,155.050443,-68.317245,90,bottom
D54,D,D_0805,174.060459,-68.317245,90,bottom
D55,D,D_0805,193.070475,-68.317245,90,bottom
D56,D,D_0805,212.080491,-68.317245,90,bottom
D57,D,D_0805,215.644869,-68.317245,90,bottom
D58,D,D_0805,261.981749,-68.317245,90,bottom
D59,D,D_0805,293.123059,-68.317245,90,bottom
D61,D,D_0805,46.930977,-87.327261,90,bottom
D62,D,D_0805,43.366591,-87.327253,90,bottom
D63,D,D_0805,67.129111,-87.327253,90,bottom
D67,D,D_0805,118.218529,-87.327253,90,bottom
D70,D,D_0805,205.001735,-87.327261,90,bottom
D71,D,D_0805,228.814255,-87.327261,90,bottom
D72,D,D_0805,252.626775,-87.327261,90,bottom
D73,D,D_0805,258.617405,-87.327261,90,bottom
D74,D,D_0805,277.677421,-87.327261,90,bottom
D75,D,D_0805,274.063043,-87.327261,90,bottom
F1,"500mA, 1A",R_0805,293.465737,-15.050258,90,bottom
G***,LOGO,logo_new,241.643,-38.245,180,bottom
G***,LOGO,oshw,228.598482,-37.90021,180,bottom
J1,USB_mini_micro_B,U-M-M5DD-W-1,290.75,-0.5,180,bottom
J2,ISP,isp_standard,141.386994,-85.545072,90,bottom
J3,ai03_ud,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,307.276,-46.055,90,bottom
J4,ai03_ud,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,307.276,-65.542,90,bottom
R1,1k,R_0805,11.965737,-55.550258,0,bottom
R101,22,R_0805,288.965737,-15.050258,90,bottom
R102,22,R_0805,290.965737,-15.050258,90,bottom
R103,10k,R_0805,305,-39,180,bottom
R104,10k,R_0805,300.465737,-33.550258,180,bottom
SW1,Reset,SW_SPST_TL3342,305,-55.5,90,bottom
U1,ATmega32U4,ATMEGA32U4,289.965737,-29.050258,0,bottom
U2,USBLC6-2SC6,USBLC6-2SC6,290.496807,-10.693134,0,bottom
X1,CSTNE16M0V530000R0,Resonator_SMD_muRata_CSTNExxV-3Pin-p1.2,295.249311,-19.604079,90,bottom
