Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C101,1u,805,289.917235,-22.442159,0,bottom
C103,0.1u,805,275.034398,-42.087488,180,bottom
C104,0.1u,805,297.060979,-46.849992,0,bottom
C105,0.1u,805,289.917235,-24.823411,0,bottom
C106,0.1u,805,277.415662,-34.943732,180,bottom
C107,4.7u,805,277.41565,-26.014037,180,bottom
D1,Diode,805,36.314085,-11.310939,90,bottom
D3,Diode,805,39.885963,-11.310939,90,bottom
D4,Diode,805,74.414117,-11.310939,90,bottom
D5,Diode,805,77.985995,-11.310939,90,bottom
D6,Diode,805,112.514149,-11.310939,90,bottom
D7,Diode,805,141.089173,-11.310939,90,bottom
D8,Diode,805,160.139189,-11.310939,90,bottom
D9,Diode,805,163.711067,-11.310939,90,bottom
D10,Diode,805,198.239221,-11.310939,90,bottom
D11,Diode,805,226.814245,-11.310939,90,bottom
D12,Diode,805,245.864261,-11.310939,90,bottom
D13,Diode,805,249.436139,-11.310939,90,bottom
D14,Diode,805,283.964293,-11.310939,90,bottom
D15,Diode,805,313.134638,-11.310939,90,bottom
D16,Diode,805,316.835947,-11.310939,90,bottom
D17,Diode,805,335.885963,-11.310939,90,bottom
D18,Diode,805,332.314085,-11.310939,90,bottom
D19,Diode,805,17.264069,-39.110939,90,bottom
D20,Diode,805,36.314085,-39.110939,90,bottom
D21,Diode,805,55.364101,-39.110939,90,bottom
D22,Diode,805,74.414117,-39.110939,90,bottom
D23,Diode,805,93.464133,-39.110939,90,bottom
D24,Diode,805,112.514149,-39.110939,90,bottom
D25,Diode,805,131.564165,-39.110939,90,bottom
D26,Diode,805,150.614181,-39.110939,90,bottom
D27,Diode,805,169.664197,-39.110939,90,bottom
D28,Diode,805,188.714213,-39.110939,90,bottom
D29,Diode,805,207.764229,-39.110939,90,bottom
D30,Diode,805,226.814245,-39.110939,90,bottom
D31,Diode,805,245.864251,-39.110891,90,bottom
D32,Diode,805,249.436135,-39.110891,90,bottom
D33,Diode,805,313.264069,-39.110939,90,bottom
D34,Diode,805,316.835947,-39.110939,90,bottom
D35,Diode,805,335.885963,-39.110939,90,bottom
D36,Diode,805,332.314085,-39.110939,90,bottom
D37,Diode,805,22.026569,-58.160939,90,bottom
D38,Diode,805,30.360951,-58.160939,90,bottom
D39,Diode,805,64.889105,-58.160939,90,bottom
D40,Diode,805,68.460983,-58.160939,90,bottom
D41,Diode,805,102.989137,-58.160939,90,bottom
D42,Diode,805,106.561015,-58.160939,90,bottom
D43,Diode,805,141.089169,-58.160939,90,bottom
D44,Diode,805,160.139185,-58.160939,90,bottom
D45,Diode,805,179.189201,-58.160939,90,bottom
D46,Diode,805,198.239117,-58.160939,90,bottom
D47,Diode,805,201.811095,-58.160939,90,bottom
D48,Diode,805,236.339149,-58.160939,90,bottom
D49,Diode,805,255.389069,-58.160939,90,bottom
D50,Diode,805,258.960947,-58.160939,90,bottom
